iter	RMSE
0	490935.2675
1	479461.6219
2	467908.5189
3	455935.5958
4	445007.3801
5	434207.487
6	423457.409
7	414796.2145
8	405386.6686
9	396477.7932
10	388092.9675
11	379906.778
12	372883.3729
13	364735.6652
14	357402.505
15	350515.1395
16	344717.1952
17	339158.1219
18	333847.9751
19	328791.8263
20	322997.074
21	317166.3769
22	312259.5326
23	306713.2625
24	301323.1438
25	296893.7236
26	292201.1225
27	288318.0922
28	284282.9539
29	280412.9025
30	276650.9021
31	272741.5994
32	268643.8754
33	265378.0352
34	261689.1067
35	258664.6363
36	255853.8608
37	252740.8449
38	250127.8886
39	247441.5119
40	244983.9533
41	242095.0833
42	238874.1975
43	235450.1333
44	232965.2192
45	230163.5243
46	227736.8416
47	225820.2708
48	223151.5696
49	221565.4988
50	219070.8212
51	216740.1799
52	214909.3012
53	213447.0593
54	211764.3702
55	210067.9986
56	207732.5368
57	206111.9373
58	204856.8304
59	203443.229
60	201922.2158
61	200501.904
62	199050.667
63	197308.8914
64	195528.8454
65	194447.1526
66	193395.0563
67	192426.4096
68	190810.1733
69	189663.6161
70	188608.2346
71	187526.7203
72	186610.1775
73	185356.9612
74	184338.1877
75	182686.5371
76	181863.6639
77	180802.8011
78	179678.3761
79	179081.9785
80	177907.5837
81	176906.527
82	176158.0311
83	175235.5108
84	174290.437
85	173247.1521
86	172400.3547
87	172033.8147
88	171181.7181
89	170579.0355
90	169831.0467
91	168724.7928
92	167989.4375
93	167266.6761
94	166667.3775
95	166313.3356
96	165657.6187
97	165165.4469
98	164955.91
99	164332.1854
100	162856.8848
101	162136.6725
102	161222.3586
103	160499.7997
104	159708.3066
105	158814.4289
106	158550.7709
107	157994.2914
108	157981.67
109	157506.9559
110	156885.3306
111	156631.6301
112	156093.5945
113	155474.9378
114	154965.8916
115	154607.7149
116	154039.335
117	153487.8128
118	152933.3121
119	152309.3168
120	152057.386
121	151430.839
122	150907.6774
123	150522.1544
124	150127.2737
125	149782.2062
126	149474.538
127	148955.6574
128	148738.0157
129	148483.7276
130	147672.3487
131	147605.4867
132	147058.8435
133	146473.2833
134	145949.6735
135	145361.5349
136	145046.0375
137	144574.355
138	144572.5509
139	144175.7188
140	143889.48
141	143302.8321
