iter	Passed	Remaining
0	193	290299
1	255	191513
2	316	157814
3	377	141099
4	445	133341
5	513	127923
6	574	122634
7	635	118523
8	703	116598
9	777	115815
10	844	114369
11	922	114433
12	1000	114436
13	1065	113055
14	1135	112373
15	1200	111339
16	1270	110818
17	1335	109991
18	1405	109531
19	1486	110032
20	1549	109095
21	1611	108251
22	1671	107329
23	1731	106517
24	1792	105748
25	1851	104982
26	1907	104089
27	1967	103430
28	2024	102711
29	2082	102053
30	2137	101294
31	2194	100686
32	2256	100297
33	2311	99663
34	2366	99074
35	2425	98624
36	2483	98193
37	2540	97726
38	2596	97266
39	2657	96994
40	2721	96854
41	2781	96549
42	2843	96353
43	2909	96271
44	2973	96159
45	3040	96103
46	3107	96072
47	3171	95928
48	3248	96200
49	3315	96154
50	3378	95979
51	3443	95879
52	3509	95829
53	3572	95655
54	3631	95421
55	3691	95183
56	3749	94933
57	3806	94630
58	3880	94778
59	3955	94923
60	4018	94796
61	4078	94602
62	4138	94393
63	4207	94405
64	4272	94334
65	4335	94207
66	4394	93996
67	4442	93544
68	4504	93417
69	4563	93223
70	4619	92985
71	4685	92932
72	4746	92791
73	4807	92645
74	4863	92411
75	4924	92263
76	4981	92068
77	5042	91934
78	5103	91794
79	5169	91759
80	5230	91623
81	5283	91370
82	5340	91168
83	5395	90959
84	5455	90817
85	5512	90634
86	5570	90470
87	5601	89885
88	5658	89709
89	5722	89645
90	5778	89464
91	5831	89249
92	5888	89090
93	5941	88868
94	6002	88766
95	6060	88630
96	6114	88443
97	6170	88280
98	6226	88114
99	6282	87954
100	6336	87765
101	6392	87616
102	6451	87497
103	6506	87335
104	6562	87180
105	6619	87052
106	6678	86946
107	6742	86901
108	6774	86455
109	6830	86310
110	6886	86178
111	6942	86032
112	6999	85913
113	7058	85818
114	7114	85687
115	7171	85558
116	7229	85460
117	7283	85299
118	7339	85174
119	7397	85069
120	7453	84949
121	7510	84831
122	7567	84717
123	7621	84573
124	7679	84470
125	7732	84324
126	7790	84220
127	7844	84087
128	7902	83991
129	7957	83860
130	8015	83763
131	8072	83661
132	8127	83538
133	8190	83497
134	8244	83358
135	8302	83271
136	8356	83142
137	8412	83026
138	8426	82511
139	8481	82395
140	8536	82276
141	8594	82191
142	8648	82068
143	8719	82108
144	8773	81986
145	8828	81877
146	8885	81778
147	8909	81388
148	8963	81274
149	9019	81177
150	9079	81109
151	9134	81012
152	9190	80911
153	9247	80827
154	9304	80738
155	9358	80630
156	9418	80569
157	9478	80507
158	9533	80407
159	9585	80275
160	9641	80189
161	9697	80092
162	9755	80016
163	9782	79694
164	9838	79598
165	9892	79500
166	9946	79394
167	10004	79322
168	10061	79240
169	10120	79176
170	10177	79097
171	10233	79008
172	10290	78929
173	10347	78854
174	10401	78754
175	10453	78640
176	10510	78558
177	10579	78571
178	10637	78503
179	10696	78437
180	10751	78352
181	10805	78250
182	10860	78158
183	10917	78084
184	10982	78068
185	11039	77990
186	11100	77937
187	11159	77879
188	11221	77840
189	11280	77777
190	11344	77749
191	11419	77795
192	11505	77917
193	11570	77890
194	11627	77815
195	11683	77733
196	11717	77499
197	11774	77428
198	11831	77352
199	11889	77279
200	11944	77196
201	12003	77132
202	12061	77060
203	12118	76990
204	12184	76969
205	12242	76901
206	12298	76820
207	12352	76730
208	12409	76654
209	12464	76569
210	12526	76526
211	12593	76509
212	12638	76362
213	12693	76277
214	12751	76212
215	12807	76131
216	12863	76055
217	12919	75974
218	12973	75886
219	13025	75785
220	13082	75711
221	13136	75624
222	13192	75544
223	13247	75464
224	13318	75473
225	13374	75393
226	13439	75366
227	13495	75291
